evidence_route_id,biomass_molecule_id,biomass_id,biomass_name,start_molecule_id,start_molecule,fuel_molecule_id,fuel_molecule,steps,molecule_path_ids,molecule_path,reaction_ids,reaction_classes,route_yield_pct,yield_complete,max_temperature_c,max_pressure_bar_known,pressure_missing_steps,total_reaction_time_h_known,time_missing_steps,biomass_link_reported_yield,biomass_link_yield_unit,biomass_link_source_id
11,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,,,50
12,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,,,50
13,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,,,50
14,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,,,50
15,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,,,50
16,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,,,50
17,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,,,50
18,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,,,50
19,3,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,,,50
20,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,,,50
21,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,,,50
22,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,,,50
23,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,,,50
24,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,,,50
25,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,,,50
26,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,,,50
27,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,,,50
28,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,,,50
29,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,,,50
30,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,,,50
31,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,,,50
32,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,,,50
33,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,,,50
34,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,,,50
35,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,,,50
36,4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,,,50
37,5,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,,,50
38,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,,,50
39,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,,,50
40,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,,,50
41,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,,,50
42,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,,,50
43,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,,,50
44,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,,,50
45,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,,,50
46,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,,,50
47,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,,,50
48,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,,,50
49,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,,,50
50,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,,,50
51,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,,,50
52,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,,,50
53,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,,,50
54,6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,,,50
55,7,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,,,50
56,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,,,50
57,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,,,50
58,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,,,50
59,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,,,50
60,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,,,50
61,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,,,50
62,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,,,50
63,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,,,50
64,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,,,50
65,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,,,50
66,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,,,50
67,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,,,50
68,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,,,50
69,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,,,50
70,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,,,50
71,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,,,50
72,8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,,,50
73,9,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,,,50
74,10,5,sugarcane bagasse,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,91.62,%,50
75,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,94.26,%,50
76,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,94.26,%,50
77,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,94.26,%,50
78,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,94.26,%,50
79,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,94.26,%,50
80,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,94.26,%,50
81,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,94.26,%,50
82,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,94.26,%,50
83,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,94.26,%,50
84,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,94.26,%,50
85,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,94.26,%,50
86,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,94.26,%,50
87,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,94.26,%,50
88,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,94.26,%,50
89,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,94.26,%,50
90,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,94.26,%,50
91,11,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,94.26,%,50
92,12,12,corn cob,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,78.1,%,50
93,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,91.6,%,50
94,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,91.6,%,50
95,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,91.6,%,50
96,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,91.6,%,50
97,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,91.6,%,50
98,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,91.6,%,50
99,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,91.6,%,50
100,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,91.6,%,50
101,13,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,91.6,%,50
